Agent,Number of Players,wins,losses,Win Rate,error,conf_int
Selfish Agent,5,1174,1226,0.489,0.02,"(0.46916756390243786, 0.5091657694308955)"
SO-ISMCTS Agent,5,1136,1170,0.493,0.02,"(0.47222270941883393, 0.5130331448743144)"
Random Agent,5,934,1430,0.395,0.02,"(0.3753861613928527, 0.4147999638186532)"
SO-ISMCTS Agent,6,1354,1629,0.454,0.018,"(0.4360390218263101, 0.4717719067690637)"
Selfish Agent,6,1332,1526,0.466,0.018,"(0.4477714273028443, 0.48434893658798844)"
Random Agent,6,1258,1871,0.402,0.017,"(0.3848656271276376, 0.4192251366946699)"
Random Agent,7,1344,1777,0.431,0.017,"(0.41325916932189743, 0.44800324657044477)"
SO-ISMCTS Agent,7,1508,1549,0.493,0.018,"(0.47557132094865373, 0.5110168373765016)"
Selfish Agent,7,1537,1686,0.477,0.017,"(0.4596414720317344, 0.4941283076766119)"
SO-ISMCTS Agent,8,1729,2090,0.453,0.016,"(0.43694951345901945, 0.46852312335690094)"
Selfish Agent,8,1782,1950,0.477,0.016,"(0.46146663833378865, 0.49351728449579335)"
Random Agent,8,1540,2293,0.402,0.016,"(0.38625369089709044, 0.4172944437233113)"
SO-ISMCTS Agent,9,1937,2047,0.486,0.016,"(0.4706747394078214, 0.5017148188251104)"
Selfish Agent,9,2034,2134,0.488,0.015,"(0.4728288210326025, 0.5031788565105837)"
Random Agent,9,1791,2351,0.432,0.015,"(0.4173126621213236, 0.4474869515918584)"
SO-ISMCTS Agent,10,2081,2405,0.464,0.015,"(0.44929437543152323, 0.4784809255047228)"
Selfish Agent,10,2167,2438,0.471,0.014,"(0.45615928977795805, 0.4849916331319225)"
Random Agent,10,1968,2681,0.423,0.014,"(0.4091141811784092, 0.4375195034849592)"
